,agb_tha,yt_c,tdq_c,twq_c,tcq_c,yp_mm,wmp_mm,pet,ai,density_km2,bioge_realm,cont_id,continent,biome,n_samples,site_id
0,25.70042041579731,4.995333194732666,5.621333122253418,7.468999862670898,-0.107166610658169,376.0,42.0,900.0,4053.0,6550.57,Neotropic,4,South America,Temperate Broadleaf & Mixed Forests,79.0,0.0
1,49.60788407616588,9.906167030334473,6.725666522979736,13.590999603271484,5.852166652679443,1371.0,145.0,983.0,13090.0,6081.61,Australasia,1,New Zealand,Temperate Broadleaf & Mixed Forests,372.0,1.0
2,584.8794742989148,10.434207916259766,6.861166954040527,13.663000106811523,5.884166717529297,670.0,73.0,1085.0,6631.0,229844.01,Australasia,1,New Zealand,"Temperate Grasslands, Savannas & Shrublands",227.0,2.0
3,149.52098402257812,11.136868476867676,15.434343338012695,6.573905944824219,6.573905944824219,1169.0,127.0,1085.26582278481,11819.708860759494,524362.9415189874,Australasia,1,New Zealand,"Temperate Grasslands, Savannas & Shrublands",79.0,49.0
4,541834.5524194814,9.442941714141329,13.066363334655762,6.242040124990172,5.665857702998792,1421.6949152542372,157.3728813559322,949.2033898305085,15159.559322033898,70931.52610169492,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,59.0,3.0
5,68996.87442493439,9.704283950255089,13.383505083850979,6.435632268178094,5.825697653072396,1486.958762886598,164.88659793814432,988.5257731958762,14847.288659793814,78327.8256701031,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,97.0,13.0
6,8896.829910374829,8.657708168029785,12.387166976928711,5.363500118255615,4.836333274841309,1681.0,187.0,1001.6875,15595.330357142857,81966.49,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,112.0,17.0
7,4157.2644665262205,9.67983341217041,13.392833709716797,6.411333084106445,5.810999870300293,1455.0,159.0,1059.0,12544.0,80170.69,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,116.0,21.0
8,21179.15342895563,8.58437442779541,12.452333450317383,5.167666435241699,4.633833408355713,1421.0,155.0,985.0764331210191,14875.082802547771,78621.94,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,157.0,26.0
9,5842.352985369864,7.880458354949951,11.802666664123535,4.4006667137146,3.93916654586792,1363.0,148.0,933.0,14681.0,74819.84,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,54.0,32.0
10,560799.2775446997,8.346122490035164,12.23241408665975,4.906104173925188,4.415893531507916,1379.6666666666667,150.70833333333334,999.8472222222222,13309.208333333334,74117.11236111111,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,72.0,37.0
11,11287.0656010667,7.166749954223633,11.268499374389648,3.496500015258789,3.201333284378052,1476.0,176.0,934.0,17521.0,82712.06,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,52.0,54.0
12,4577.533588036761,11.502791404724121,15.105667114257812,8.312833786010742,8.069833755493164,1442.0,192.0,1154.0,11983.0,70151.19,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,79.0,65.0
13,10738.845272606723,11.275542259216309,14.855999946594238,8.104666709899902,7.868333339691162,1435.0,188.0,1101.0,13159.0,72720.33,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,83.0,66.0
14,14683.194002088067,12.424166679382324,15.751167297363281,9.326166152954102,9.326166152954102,1239.0,159.0,1140.0,11129.0,66326.32,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,90.0,67.0
15,2466.0456812379107,12.599787712097168,16.13843536376953,9.506292343139648,9.245067596435547,1116.0,143.0,1184.0,9657.0,44383.68,Australasia,2,Australia,Temperate Broadleaf & Mixed Forests,139.0,68.0
16,27.574567912256082,7.373005935123989,6.189309392656599,7.071118763514927,2.237595217568534,2919.285714285714,320.7142857142857,1077.2857142857142,25235.428571428572,32919.125714285714,Australasia,1,New Zealand,Montane Grasslands & Shrublands,56.0,27.0
17,85.97126542854373,9.3657210790194,13.734820916102482,10.127769066737248,4.867493592775785,3374.653846153846,371.38461538461536,1112.1346153846155,35279.557692307695,79430.49365384615,Australasia,1,New Zealand,Montane Grasslands & Shrublands,52.0,31.0
18,984.0022393554267,7.993416786193848,12.797833442687988,7.563166618347168,2.985166549682617,2775.0,357.0,1024.0,28386.0,78152.61,Australasia,1,New Zealand,Montane Grasslands & Shrublands,372.0,47.0
19,314.6765940309919,10.613296598758337,14.909864839517846,10.80491846912312,6.099673010268301,3187.622641509434,370.22641509433964,1101.5849056603774,29617.528301886792,74763.4379245283,Australasia,1,New Zealand,Temperate Broadleaf & Mixed Forests,53.0,34.0
20,166.3240039929063,11.218999862670898,6.741000175476074,10.922332763671875,6.741000175476074,3327.0,424.0,1130.0,30114.0,45294.95,Australasia,1,New Zealand,Temperate Broadleaf & Mixed Forests,64.0,36.0
21,445.82536306226496,7.993416786193848,12.797833442687988,7.563166618347168,2.985166549682617,2775.0,357.0,1047.0,21459.0,64997.14000000001,Australasia,1,New Zealand,Temperate Broadleaf & Mixed Forests,327.0,48.0
22,13.283605638749085,8.965970247641376,13.704449971516928,7.672845144381468,4.006609198690831,1638.183908045977,160.64367816091954,1099.7471264367816,12839.942528735632,69957.69517241379,Australasia,1,New Zealand,Temperate Broadleaf & Mixed Forests,87.0,50.0
23,4.043046318264984,11.156749725341797,15.729833602905273,11.79283332824707,6.381166934967041,1013.0,104.0,1150.8333333333333,8455.694444444445,17732.526319444445,Australasia,1,New Zealand,Temperate Broadleaf & Mixed Forests,288.0,52.0
